PacketID,SensorGenTime_ms,ProcessingTime_ms,TransmissionTime_ms
499,0.004,0.007,0.426
500,0.007,0.004,0.175
501,0.006,0.007,0.512
502,0.006,0.006,0.227
503,0.006,0.010,0.319
504,0.005,0.008,0.302
505,0.006,0.008,0.308
506,0.116,0.008,0.313
507,0.004,0.006,0.207
508,0.006,0.007,0.225
509,0.004,0.007,0.233
510,0.006,0.003,0.174
511,0.004,0.006,0.228
512,0.006,0.009,0.311
513,0.007,0.008,0.303
514,0.006,0.005,0.298
515,0.005,0.008,0.298
516,0.009,0.011,0.721
517,0.004,0.008,0.474
518,0.068,0.008,0.227
519,0.006,0.004,0.207
520,0.004,0.006,0.227
521,0.003,0.005,0.206
522,0.004,0.006,0.228
523,0.005,0.010,0.455
524,0.003,0.004,0.146
525,0.005,0.008,0.298
526,0.006,0.009,0.325
527,0.034,0.008,0.472
528,0.005,0.008,0.296
529,0.006,0.010,0.326
530,0.004,0.005,0.267
531,0.124,0.005,0.303
532,0.007,0.009,0.422
533,0.005,0.008,0.347
534,0.006,0.009,1.448
535,0.006,0.005,0.174
536,0.004,0.006,0.209
537,0.005,0.009,0.502
538,0.005,0.019,0.347
539,0.005,0.007,0.259
540,0.006,0.008,0.228
541,0.004,0.006,0.258
542,0.005,0.008,0.254
543,0.005,0.007,0.224
544,0.004,0.006,0.212
545,0.004,0.018,0.242
546,0.085,0.008,0.250
547,0.005,0.009,0.303
548,0.005,0.008,0.481
549,0.007,0.010,0.327
550,0.006,0.008,0.305
551,0.005,0.009,0.305
552,0.007,0.005,0.587
553,0.006,0.008,0.340
554,0.005,0.008,0.324
555,0.008,0.010,0.339
556,0.007,0.009,0.324
557,0.005,0.006,0.612
558,0.005,0.009,0.241
559,0.005,0.009,0.250
560,0.069,0.004,0.175
561,0.006,0.007,0.222
562,0.005,0.006,0.206
563,0.003,0.005,0.181
564,0.004,0.006,0.221
565,0.004,0.007,0.232
566,0.006,0.011,0.428
567,0.003,0.005,0.162
568,0.006,0.008,0.347
569,0.006,0.009,0.310
570,0.006,0.009,0.393
571,0.005,0.007,0.286
572,0.007,0.011,0.357
573,0.003,0.006,0.173
574,0.005,0.008,0.319
575,0.005,0.007,0.306
576,0.006,0.010,0.316
577,0.118,0.008,0.416
578,0.004,0.008,0.532
579,0.005,0.009,0.207
580,0.004,0.007,0.218
581,0.004,0.005,0.169
582,0.005,0.009,0.499
583,0.006,0.010,0.357
584,0.023,0.009,0.427
585,0.007,0.005,0.234
586,0.007,0.012,0.362
587,0.004,0.006,0.290
588,0.008,0.009,0.572
589,0.114,0.009,0.311
590,0.008,0.009,0.316
591,0.006,0.009,0.326
592,0.007,0.009,0.322
593,0.008,0.009,0.896
594,0.005,0.009,0.875
595,0.005,0.008,0.237
596,0.005,0.007,0.227
597,0.004,0.005,0.183
598,0.005,0.008,0.358
599,0.006,0.005,0.348
600,0.006,0.008,0.219
601,0.006,0.006,0.169
602,0.004,0.004,0.216
603,0.069,0.006,0.189
604,0.004,0.006,0.212
605,0.004,0.005,0.193
606,0.005,0.005,0.180
607,0.005,0.007,0.240
608,0.004,0.006,0.212
609,0.005,0.008,0.233
610,0.004,0.006,0.178
611,0.005,0.007,0.238
612,0.006,0.009,0.303
613,0.005,0.008,0.291
614,0.005,0.008,0.368
615,0.005,0.008,0.296
616,0.007,0.005,0.307
617,0.007,0.007,0.310
618,0.113,0.008,0.305
619,0.006,0.009,0.365
620,0.005,0.009,0.878
621,0.037,0.008,0.284
622,0.005,1.872,4.747
623,0.005,0.004,0.117
624,0.003,0.004,0.087
625,0.004,0.022,0.588
626,0.002,0.003,0.128
627,0.002,0.004,0.113
628,0.003,0.002,0.099
629,0.004,0.007,0.205
630,0.004,0.006,0.201
631,0.005,0.004,0.179
632,0.003,0.005,0.181
633,0.004,0.006,0.205
634,0.003,0.004,0.177
635,0.005,0.015,0.306
636,0.006,0.009,0.320
637,0.003,0.005,0.166
638,0.007,0.009,0.338
639,0.005,0.008,0.632
640,0.005,0.008,0.337
641,0.005,0.008,0.338
642,0.005,0.004,0.178
643,0.003,0.005,0.182
644,0.004,0.007,0.235
645,0.005,0.007,0.300
646,0.005,0.008,0.327
647,0.054,0.005,0.323
648,0.176,0.037,0.339
649,0.006,0.008,0.319
650,0.005,0.008,0.306
651,0.006,0.010,0.339
652,0.005,0.009,0.362
653,0.004,0.007,0.355
654,0.005,0.008,0.965
655,0.004,0.006,0.197
656,0.006,0.005,0.175
657,0.006,0.004,0.271
658,0.004,0.006,0.234
659,0.003,0.006,0.266
660,0.008,0.010,0.550
661,0.006,0.004,1.486
662,0.004,0.007,0.200
663,0.006,0.004,0.164
664,0.004,0.005,0.173
665,0.004,0.006,0.212
666,0.003,0.006,0.192
667,0.006,0.004,0.161
668,0.005,0.005,0.181
669,0.007,0.010,0.286
670,0.005,0.003,0.232
671,0.006,0.009,0.412
672,0.113,0.008,0.317
673,0.006,0.009,0.315
674,0.005,0.008,0.391
675,0.005,0.007,0.272
676,0.006,0.011,0.347
677,0.005,0.009,0.580
678,0.005,0.008,0.284
679,0.006,0.011,0.350
680,0.008,0.006,0.420
681,0.006,0.010,1.822
682,0.005,0.010,0.238
683,0.064,0.009,0.270
684,0.005,0.009,0.225
685,0.005,0.004,0.180
686,0.005,0.007,0.206
687,0.004,0.005,0.154
688,0.005,0.009,0.305
689,0.008,0.009,0.319
690,0.007,0.012,0.384
691,0.006,0.009,0.328
692,0.005,0.007,0.315
693,0.007,0.010,0.356
694,0.006,0.010,0.349
695,0.006,0.009,0.382
696,0.008,0.006,0.328
697,0.005,0.008,0.293
698,0.006,0.009,0.320
699,0.005,0.008,0.288
700,0.114,0.008,0.310
701,0.007,0.010,0.506
702,0.006,0.009,0.250
703,0.005,0.003,0.230
704,0.003,0.005,0.196
705,0.004,0.006,0.203
706,0.007,0.006,0.181
707,0.005,0.008,0.312
708,0.005,0.008,0.220
709,0.006,0.008,0.437
710,0.095,0.006,0.187
711,0.004,0.006,0.230
712,0.006,0.009,0.315
713,0.005,0.007,0.291
714,0.023,0.009,1.360
715,0.006,0.004,0.167
716,0.004,0.006,0.206
717,0.004,0.006,0.212
718,0.004,0.006,0.233
719,0.006,0.009,0.318
720,0.003,0.005,0.232
721,0.005,0.008,1.067
722,0.005,0.008,1.530
723,0.073,0.007,0.196
724,0.007,0.003,0.164
725,0.004,0.006,0.200
726,0.004,0.005,0.186
727,0.069,0.005,0.207
728,0.003,0.005,0.189
729,0.007,0.005,0.265
730,0.006,0.008,0.312
731,0.005,0.009,0.292
732,0.003,0.006,0.196
733,0.006,0.011,0.245
734,0.004,0.007,0.241
735,0.006,0.011,0.428
736,0.006,0.009,0.330
737,0.006,0.010,0.362
738,0.006,0.020,0.375
739,0.006,0.011,0.349
740,0.006,0.008,0.315
741,0.005,0.009,0.368
742,0.069,0.008,0.532
743,0.005,0.009,0.784
744,0.006,0.004,0.193
745,0.004,0.005,0.187
746,0.004,0.007,0.212
747,0.006,0.008,0.228
748,0.005,0.007,0.223
749,0.006,0.007,0.221
750,0.005,0.004,0.222
751,0.008,0.010,0.340
752,0.007,0.009,0.323
753,0.006,0.009,0.331
754,0.005,0.007,0.284
755,0.006,0.009,0.318
756,0.155,0.009,0.305
757,0.005,0.009,0.416
758,0.006,0.009,0.358
759,0.006,0.162,0.383
760,0.005,0.007,0.280
761,0.007,0.009,0.306
762,0.006,0.009,0.314
763,0.005,0.009,0.400
764,0.005,0.008,1.136
765,0.005,0.006,0.212
766,0.068,0.008,0.222
767,0.003,0.005,0.176
768,0.004,0.005,0.181
769,0.004,0.007,0.251
770,0.006,0.009,0.332
771,0.007,0.008,0.279
772,0.006,0.010,0.332
773,0.006,0.011,0.224
774,0.005,0.007,1.620
775,0.005,0.009,1.486
776,0.004,0.007,0.198
777,0.005,0.009,0.262
778,0.005,0.008,0.274
779,0.004,0.007,0.201
780,0.041,0.007,0.246
781,0.005,0.010,0.247
782,0.005,0.007,0.179
783,0.005,0.010,1.115
784,0.005,0.020,0.204
785,0.003,0.004,0.210
786,0.068,0.007,0.218
787,0.004,0.007,0.202
788,0.004,0.007,0.246
789,0.006,0.008,0.276
790,0.005,0.007,0.247
791,0.006,0.009,0.474
792,0.007,0.005,0.294
793,0.006,0.008,0.307
794,0.005,0.009,0.349
795,0.005,0.008,0.306
796,0.008,0.006,0.405
797,0.006,0.009,0.321
798,0.006,0.009,0.330
799,0.125,0.009,0.295
800,0.005,0.008,0.320
801,0.007,0.009,0.321
802,0.040,0.008,0.436
803,0.006,0.004,0.531
804,0.006,0.009,0.986
805,0.004,0.005,0.179
806,0.003,0.004,0.160
807,0.005,0.007,0.249
808,0.006,0.006,0.187
809,0.005,0.008,0.220
810,0.005,0.004,0.177
811,0.003,0.005,0.188
812,0.004,0.006,0.193
813,0.004,0.005,0.203
814,0.004,0.007,0.242
815,0.118,0.008,0.363
816,0.005,0.009,0.441
817,0.005,0.008,0.289
818,0.007,0.005,0.307
819,0.008,0.006,0.381
820,0.006,0.005,0.306
821,0.006,0.009,0.327
822,0.005,0.008,0.298
823,0.006,0.010,0.488
824,0.005,0.009,0.518
825,0.004,0.005,0.170
826,0.007,0.007,0.260
827,0.005,0.008,0.195
828,0.065,0.007,0.198
829,0.005,0.006,0.188
830,0.005,0.003,0.200
831,0.004,0.007,0.231
832,0.007,0.010,0.393
833,0.005,0.009,0.297
834,0.005,0.009,0.343
835,0.004,0.007,1.241
836,0.005,0.009,1.133
837,0.004,0.006,0.194
838,0.004,0.005,0.175
839,0.004,0.005,0.189
840,0.004,0.013,0.225
841,0.083,0.008,0.279
842,0.004,0.006,0.224
843,0.003,0.005,0.182
844,0.005,0.007,0.371
845,0.006,0.009,0.257
846,0.008,0.005,0.159
847,0.005,0.005,0.184
848,0.005,0.004,0.205
849,0.003,0.005,0.184
850,0.004,0.006,0.200
851,0.003,0.006,0.193
852,0.005,0.006,0.269
853,0.006,0.009,0.389
854,0.005,0.008,0.307
855,0.006,0.009,0.312
856,0.006,0.009,0.324
857,0.006,0.011,0.369
858,0.115,0.009,0.339
859,0.025,0.011,0.782
860,0.006,0.009,0.310
861,0.005,0.009,0.311
862,0.008,0.010,0.326
863,0.005,0.009,0.369
864,0.005,0.008,0.311
865,0.005,0.008,0.555
866,0.005,0.009,0.351
867,0.004,0.006,0.220
868,0.005,0.007,0.243
869,0.006,0.004,0.254
870,0.062,0.009,1.047
871,0.005,0.008,0.252
872,0.005,0.005,0.190
873,0.005,0.009,0.287
874,0.007,0.011,0.338
875,0.005,0.009,0.225
876,0.005,0.008,0.296
877,0.007,0.012,0.258
878,0.006,0.008,0.326
879,0.006,0.009,0.332
880,0.005,0.009,0.221
881,0.006,0.009,0.327
882,0.008,0.010,0.342
883,0.006,0.009,0.312
884,0.005,0.008,0.388
885,0.006,0.010,0.838
886,0.005,0.008,1.212
887,0.008,0.010,0.266
888,0.004,0.006,0.197
889,0.004,0.007,0.227
890,0.067,0.006,0.200
891,0.004,0.006,0.202
892,0.005,0.005,0.163
893,0.006,0.007,0.238
894,0.006,0.009,0.332
895,0.005,0.008,0.532
896,0.113,0.006,0.600
897,0.005,0.008,0.853
898,0.004,0.006,0.209
899,0.003,0.005,0.192
900,0.005,0.007,0.249
901,0.005,0.008,0.258
